OBJECTID,COMPKEY,LAST_EDITED_DATE
1,,2018/09/25 05:15:21+00
2,,2018/09/25 05:15:21+00
3,,2018/09/25 05:15:21+00
4,,2018/09/25 05:15:21+00
5,,2018/09/25 05:15:21+00
6,,2018/09/25 05:15:21+00
7,,2018/09/25 05:15:21+00
8,,2018/09/25 05:15:21+00
9,,2018/09/25 05:15:21+00
10,,2018/09/25 05:15:21+00
11,,2018/09/25 05:15:21+00
12,,2018/09/25 05:15:21+00
13,,2018/09/25 05:15:21+00
14,,2018/09/25 05:15:21+00
15,,2018/09/25 05:15:21+00
16,,2018/09/25 05:15:21+00
17,,2018/09/25 05:15:21+00
18,,2018/09/25 05:15:21+00
19,,2018/09/25 05:15:21+00
20,,2018/09/25 05:15:21+00
21,,2018/09/25 05:15:21+00
22,,2018/09/25 05:15:21+00
23,,2018/09/25 05:15:21+00
24,,2018/09/25 05:15:21+00
25,,2018/09/25 05:15:21+00
26,,2018/09/25 05:15:21+00
27,,2018/09/25 05:15:21+00
28,,2018/09/25 05:15:21+00
29,,2018/09/25 05:15:21+00
30,,2018/09/25 05:15:21+00
31,,2018/09/25 05:15:21+00
32,,2018/09/25 05:15:21+00
33,,2018/09/25 05:15:21+00
34,,2018/09/25 05:15:21+00
35,,2018/09/25 05:15:21+00
36,,2018/09/25 05:15:21+00
37,,2018/09/25 05:15:21+00
38,,2018/09/25 05:15:21+00
39,,2018/09/25 05:15:21+00
40,,2018/09/25 05:15:21+00
41,,2018/09/25 05:15:21+00
42,,2018/09/25 05:15:21+00
43,,2018/09/25 05:15:21+00
44,,2018/09/25 05:15:21+00
45,,2018/09/25 05:15:21+00
46,,2018/09/25 05:15:21+00
47,,2018/09/25 05:15:21+00
48,,2018/09/25 05:15:21+00
49,,2018/09/25 05:15:21+00
50,,2018/09/25 05:15:21+00
51,,2018/09/25 05:15:21+00
52,,2018/09/25 05:15:21+00
53,,2018/09/25 05:15:21+00
54,,2018/09/25 05:15:21+00
55,,2018/09/25 05:15:21+00
56,,2018/09/25 05:15:21+00
57,,2018/09/25 05:15:21+00
58,,2018/09/25 05:15:21+00
59,,2018/09/25 05:15:21+00
60,,2018/09/25 05:15:21+00
61,,2018/09/25 05:15:21+00
62,,2018/09/25 05:15:21+00
63,,2018/09/25 05:15:21+00
64,,2018/09/25 05:15:21+00
65,,2018/09/25 05:15:21+00
66,,2018/09/25 05:15:21+00
67,,2018/09/25 05:15:21+00
68,,2018/09/25 05:15:21+00
69,,2018/09/25 05:15:21+00
70,,2018/09/25 05:15:21+00
71,,2018/09/25 05:15:21+00
72,,2018/09/25 05:15:21+00
73,,2018/09/25 05:15:21+00
74,,2018/09/25 05:15:21+00
75,,2018/09/25 05:15:21+00
76,,2018/09/25 05:15:21+00
77,,2018/09/25 05:15:21+00
78,,2018/09/25 05:15:21+00
79,,2018/09/25 05:15:21+00
80,,2018/09/25 05:15:21+00
81,,2018/09/25 05:15:21+00
82,,2018/09/25 05:15:21+00
83,,2018/09/25 05:15:21+00
84,,2018/09/25 05:15:21+00
85,,2018/09/25 05:15:21+00
86,,2018/09/25 05:15:21+00
87,,2018/09/25 05:15:21+00
88,,2018/09/25 05:15:21+00
89,,2018/09/25 05:15:21+00
90,,2018/09/25 05:15:21+00
91,,2018/09/25 05:15:21+00
92,,2018/09/25 05:15:21+00
93,,2018/09/25 05:15:21+00
94,,2018/09/25 05:15:21+00
95,,2018/09/25 05:15:21+00
96,,2018/09/25 05:15:21+00
97,,2018/09/25 05:15:21+00
98,,2018/09/25 05:15:21+00
99,,2018/09/25 05:15:21+00
100,,2018/09/25 05:15:21+00
101,,2018/09/25 05:15:21+00
102,,2018/09/25 05:15:21+00
103,,2018/09/25 05:15:21+00
104,,2018/09/25 05:15:21+00
105,,2018/09/25 05:15:21+00
106,,2018/09/25 05:15:21+00
107,,2018/09/25 05:15:21+00
108,,2018/09/25 05:15:21+00
109,,2018/09/25 05:15:21+00
110,,2018/09/25 05:15:21+00
111,,2018/09/25 05:15:21+00
112,,2018/09/25 05:15:21+00
113,,2018/09/25 05:15:21+00
114,,2018/09/25 05:15:21+00
115,,2018/09/25 05:15:21+00
116,,2018/09/25 05:15:21+00
117,,2018/09/25 05:15:21+00
118,,2018/09/25 05:15:21+00
119,,2018/09/25 05:15:21+00
120,,2018/09/25 05:15:21+00
121,,2018/09/25 05:15:21+00
122,,2018/09/25 05:15:21+00
123,,2018/09/25 05:15:21+00
124,,2018/09/25 05:15:21+00
125,,2018/09/25 05:15:21+00
126,,2018/09/25 05:15:21+00
127,,2018/09/25 05:15:21+00
128,,2018/09/25 05:15:21+00
129,,2018/09/25 05:15:21+00
130,,2018/09/25 05:15:21+00
131,,2018/09/25 05:15:21+00
132,,2018/09/25 05:15:21+00
133,,2018/09/25 05:15:21+00
134,,2018/09/25 05:15:21+00
135,,2018/09/25 05:15:21+00
136,,2018/09/25 05:15:21+00
137,,2018/09/25 05:15:21+00
138,,2018/09/25 05:15:21+00
139,,2018/09/25 05:15:21+00
140,,2018/09/25 05:15:21+00
141,,2018/09/25 05:15:21+00
142,,2018/09/25 05:15:21+00
143,,2018/09/25 05:15:21+00
144,,2018/09/25 05:15:21+00
145,,2018/09/25 05:15:21+00
146,,2018/09/25 05:15:21+00
147,,2018/09/25 05:15:21+00
148,,2018/09/25 05:15:21+00
149,,2018/09/25 05:15:21+00
150,,2018/09/25 05:15:21+00
151,,2018/09/25 05:15:21+00
152,,2018/09/25 05:15:21+00
153,,2018/09/25 05:15:21+00
154,,2018/09/25 05:15:21+00
155,,2018/09/25 05:15:21+00
156,,2018/09/25 05:15:21+00
157,,2018/09/25 05:15:21+00
158,,2018/09/25 05:15:21+00
159,,2018/09/25 05:15:21+00
160,,2018/09/25 05:15:21+00
161,,2018/09/25 05:15:21+00
162,,2018/09/25 05:15:21+00
163,,2018/09/25 05:15:21+00
164,,2018/09/25 05:15:21+00
165,,2018/09/25 05:15:21+00
166,,2018/09/25 05:15:21+00
167,,2018/09/25 05:15:21+00
168,,2018/09/25 05:15:21+00
169,,2018/09/25 05:15:21+00
170,,2018/09/25 05:15:21+00
171,,2018/09/25 05:15:21+00
172,,2018/09/25 05:15:21+00
173,,2018/09/25 05:15:21+00
174,,2018/09/25 05:15:21+00
175,,2018/09/25 05:15:21+00
176,,2018/09/25 05:15:21+00
177,,2018/09/25 05:15:21+00
178,,2018/09/25 05:15:21+00
179,,2018/09/25 05:15:21+00
180,,2018/09/25 05:15:21+00
181,,2018/09/25 05:15:21+00
182,,2018/09/25 05:15:21+00
183,,2018/09/25 05:15:21+00
184,,2018/09/25 05:15:21+00
185,,2018/09/25 05:15:21+00
186,,2018/09/25 05:15:21+00
187,,2018/09/25 05:15:21+00
188,,2018/09/25 05:15:21+00
189,,2018/09/25 05:15:21+00
190,,2018/09/25 05:15:21+00
191,,2018/09/25 05:15:21+00
192,,2018/09/25 05:15:21+00
193,,2018/09/25 05:15:21+00
194,,2018/09/25 05:15:21+00
195,,2018/09/25 05:15:21+00
196,,2018/09/25 05:15:21+00
197,,2018/09/25 05:15:21+00
198,,2018/09/25 05:15:21+00
199,,2018/09/25 05:15:21+00
200,,2018/09/25 05:15:21+00
201,,2018/09/25 05:15:21+00
202,,2018/09/25 05:15:21+00
203,,2018/09/25 05:15:21+00
204,,2018/09/25 05:15:21+00
205,,2018/09/25 05:15:21+00
206,,2018/09/25 05:15:21+00
207,,2018/09/25 05:15:21+00
208,,2018/09/25 05:15:21+00
209,,2018/09/25 05:15:21+00
210,,2018/09/25 05:15:21+00
211,,2018/09/25 05:15:21+00
212,,2018/09/25 05:15:21+00
213,,2018/09/25 05:15:21+00
214,,2018/09/25 05:15:21+00
215,,2018/09/25 05:15:21+00
216,,2018/09/25 05:15:21+00
217,,2018/09/25 05:15:21+00
218,,2018/09/25 05:15:21+00
219,,2018/09/25 05:15:21+00
220,,2018/09/25 05:15:21+00
221,,2018/09/25 05:15:21+00
222,,2018/09/25 05:15:21+00
223,,2018/09/25 05:15:21+00
224,,2018/09/25 05:15:21+00
225,,2018/09/25 05:15:21+00
226,,2018/09/25 05:15:21+00
227,,2018/09/25 05:15:21+00
228,,2018/09/25 05:15:21+00
229,,2018/09/25 05:15:21+00
230,,2018/09/25 05:15:21+00
231,,2018/09/25 05:15:21+00
232,,2018/09/25 05:15:21+00
233,,2018/09/25 05:15:21+00
234,,2018/09/25 05:15:21+00
235,,2018/09/25 05:15:21+00
236,,2018/09/25 05:15:21+00
237,,2018/09/25 05:15:21+00
238,,2018/09/25 05:15:21+00
239,,2018/09/25 05:15:21+00
240,,2018/09/25 05:15:21+00
241,,2018/09/25 05:15:21+00
242,,2018/09/25 05:15:21+00
243,,2018/09/25 05:15:21+00
244,,2018/09/25 05:15:21+00
245,,2018/09/25 05:15:21+00
246,,2018/09/25 05:15:21+00
247,,2018/09/25 05:15:21+00
248,,2018/09/25 05:15:21+00
249,,2018/09/25 05:15:21+00
250,,2018/09/25 05:15:21+00
251,,2018/09/25 05:15:21+00
252,,2018/09/25 05:15:21+00
253,,2018/09/25 05:15:21+00
254,,2018/09/25 05:15:21+00
255,,2018/09/25 05:15:21+00
256,,2018/09/25 05:15:21+00
257,,2018/09/25 05:15:21+00
258,,2018/09/25 05:15:21+00
259,,2018/09/25 05:15:21+00
260,,2018/09/25 05:15:21+00
261,,2018/09/25 05:15:21+00
262,,2018/09/25 05:15:21+00
263,,2018/09/25 05:15:21+00
264,,2018/09/25 05:15:21+00
265,,2018/09/25 05:15:21+00
266,,2018/09/25 05:15:21+00
267,,2018/09/25 05:15:21+00
268,,2018/09/25 05:15:21+00
269,,2018/09/25 05:15:21+00
270,,2018/09/25 05:15:21+00
271,,2018/09/25 05:15:21+00
272,,2018/09/25 05:15:21+00
273,,2018/09/25 05:15:21+00
274,,2018/09/25 05:15:21+00
275,,2018/09/25 05:15:21+00
276,,2018/09/25 05:15:21+00
277,,2018/09/25 05:15:21+00
278,,2018/09/25 05:15:21+00
279,,2018/09/25 05:15:21+00
280,,2018/09/25 05:15:21+00
281,,2018/09/25 05:15:21+00
282,,2018/09/25 05:15:21+00
283,,2018/09/25 05:15:21+00
284,,2018/09/25 05:15:21+00
285,,2018/09/25 05:15:21+00
286,,2018/09/25 05:15:21+00
287,,2018/09/25 05:15:21+00
288,,2018/09/25 05:15:21+00
289,,2018/09/25 05:15:21+00
290,,2018/09/25 05:15:21+00
291,,2018/09/25 05:15:21+00
292,,2018/09/25 05:15:21+00
293,,2018/09/25 05:15:21+00
294,,2018/09/25 05:15:21+00
295,,2018/09/25 05:15:21+00
296,,2018/09/25 05:15:21+00
297,,2018/09/25 05:15:21+00
298,,2018/09/25 05:15:21+00
299,,2018/09/25 05:15:21+00
300,,2018/09/25 05:15:21+00
301,,2018/09/25 05:15:21+00
302,,2018/09/25 05:15:21+00
303,,2018/09/25 05:15:21+00
304,,2018/09/25 05:15:21+00
305,,2018/09/25 05:15:21+00
306,,2018/09/25 05:15:21+00
307,,2018/09/25 05:15:21+00
308,,2018/09/25 05:15:21+00
309,,2018/09/25 05:15:21+00
310,,2018/09/25 05:15:21+00
311,,2018/09/25 05:15:21+00
312,,2018/09/25 05:15:21+00
313,,2018/09/25 05:15:21+00
314,,2018/09/25 05:15:21+00
315,,2018/09/25 05:15:21+00
316,,2018/09/25 05:15:21+00
317,,2018/09/25 05:15:21+00
318,,2018/09/25 05:15:21+00
319,,2018/09/25 05:15:21+00
320,,2018/09/25 05:15:21+00
321,,2018/09/25 05:15:21+00
322,,2018/09/25 05:15:21+00
323,,2018/09/25 05:15:21+00
324,,2018/09/25 05:15:21+00
325,,2018/09/25 05:15:21+00
326,,2018/09/25 05:15:21+00
327,,2018/09/25 05:15:21+00
328,,2018/09/25 05:15:21+00
329,,2018/09/25 05:15:21+00
330,,2018/09/25 05:15:21+00
331,,2018/09/25 05:15:21+00
332,,2018/09/25 05:15:21+00
333,,2018/09/25 05:15:21+00
334,,2018/09/25 05:15:21+00
335,,2018/09/25 05:15:21+00
336,,2018/09/25 05:15:21+00
337,,2018/09/25 05:15:21+00
338,,2018/09/25 05:15:21+00
339,,2018/09/25 05:15:21+00
340,,2018/09/25 05:15:21+00
341,,2018/09/25 05:15:21+00
342,,2018/09/25 05:15:21+00
343,,2018/09/25 05:15:21+00
344,,2018/09/25 05:15:21+00
345,,2018/09/25 05:15:21+00
346,,2018/09/25 05:15:21+00
347,,2018/09/25 05:15:21+00
348,,2018/09/25 05:15:21+00
349,,2018/09/25 05:15:21+00
350,,2018/09/25 05:15:21+00
351,,2018/09/25 05:15:21+00
352,,2018/09/25 05:15:21+00
353,,2018/09/25 05:15:21+00
354,,2018/09/25 05:15:21+00
355,,2018/09/25 05:15:21+00
356,,2018/09/25 05:15:21+00
357,,2018/09/25 05:15:21+00
358,,2018/09/25 05:15:21+00
359,,2018/09/25 05:15:21+00
360,,2018/09/25 05:15:21+00
361,,2018/09/25 05:15:21+00
362,,2018/09/25 05:15:21+00
363,,2018/09/25 05:15:21+00
364,,2018/09/25 05:15:21+00
365,,2018/09/25 05:15:21+00
366,,2018/09/25 05:15:21+00
367,,2018/09/25 05:15:21+00
368,,2018/09/25 05:15:21+00
369,,2018/09/25 05:15:21+00
370,,2018/09/25 05:15:21+00
371,,2018/09/25 05:15:21+00
372,,2018/09/25 05:15:21+00
373,,2018/09/25 05:15:21+00
374,,2018/09/25 05:15:21+00
375,,2018/09/25 05:15:21+00
376,,2018/09/25 05:15:21+00
377,,2018/09/25 05:15:21+00
378,,2018/09/25 05:15:21+00
379,,2018/09/25 05:15:21+00
380,,2018/09/25 05:15:21+00
381,,2018/09/25 05:15:21+00
382,,2018/09/25 05:15:21+00
383,,2018/09/25 05:15:21+00
384,,2018/09/25 05:15:21+00
385,,2018/09/25 05:15:21+00
386,,2018/09/25 05:15:21+00
387,,2018/09/25 05:15:21+00
388,,2018/09/25 05:15:21+00
389,,2018/09/25 05:15:21+00
390,,2018/09/25 05:15:21+00
391,,2018/09/25 05:15:21+00
392,,2018/09/25 05:15:21+00
393,,2018/09/25 05:15:21+00
394,,2018/09/25 05:15:21+00
395,,2018/09/25 05:15:21+00
396,,2018/09/25 05:15:21+00
397,,2018/09/25 05:15:21+00
398,,2018/09/25 05:15:21+00
399,,2018/09/25 05:15:21+00
400,,2018/09/25 05:15:21+00
401,,2018/09/25 05:15:21+00
402,,2018/09/25 05:15:21+00
403,,2018/09/25 05:15:21+00
404,,2018/09/25 05:15:21+00
405,,2018/09/25 05:15:21+00
406,,2018/09/25 05:15:21+00
407,,2018/09/25 05:15:21+00
408,,2018/09/25 05:15:21+00
409,,2018/09/25 05:15:21+00
410,,2018/09/25 05:15:21+00
411,,2018/09/25 05:15:21+00
412,,2018/09/25 05:15:21+00
413,,2018/09/25 05:15:21+00
414,,2018/09/25 05:15:21+00
415,,2018/09/25 05:15:21+00
416,,2018/09/25 05:15:21+00
417,,2018/09/25 05:15:21+00
418,,2018/09/25 05:15:21+00
419,,2018/09/25 05:15:21+00
420,,2018/09/25 05:15:21+00
421,,2018/09/25 05:15:21+00
422,,2018/09/25 05:15:21+00
423,,2018/09/25 05:15:21+00
424,,2018/09/25 05:15:21+00
425,,2018/09/25 05:15:21+00
426,,2018/09/25 05:15:21+00
427,,2018/09/25 05:15:21+00
428,,2018/09/25 05:15:21+00
429,,2018/09/25 05:15:21+00
430,,2018/09/25 05:15:21+00
431,,2018/09/25 05:15:21+00
432,,2018/11/13 01:26:19+00
433,,2018/11/13 01:26:19+00
434,,2018/11/13 01:26:19+00
435,,2018/11/13 01:26:19+00
436,,2018/11/13 01:26:19+00
437,,2018/11/13 01:26:19+00
438,,2018/11/13 01:26:19+00
439,,2018/11/13 01:26:19+00
440,,2018/11/13 01:26:19+00
441,,2018/11/13 01:26:19+00
442,,2018/11/13 01:26:19+00
443,,2018/11/13 01:26:19+00
444,,2018/11/13 01:26:19+00
445,,2018/11/13 01:26:19+00
446,,2018/11/13 01:26:19+00
447,,2018/11/13 01:26:19+00
448,,2018/11/13 01:26:19+00
449,,2018/11/13 01:26:19+00
450,,2018/11/13 01:26:19+00
451,,2018/11/13 01:26:19+00
452,,2018/11/13 01:26:19+00
453,,2018/11/13 01:26:19+00
454,,2018/11/13 01:26:19+00
455,,2018/11/13 01:26:19+00
456,,2018/11/13 01:26:19+00
457,,2018/11/13 01:26:19+00
458,,2018/11/13 01:26:19+00
459,,2018/11/13 01:26:19+00
460,,2018/11/13 01:26:19+00
461,,2018/11/13 01:26:19+00
462,,2018/11/13 01:26:19+00
463,,2018/11/13 01:26:19+00
464,,2018/11/13 01:26:19+00
465,,2018/11/13 01:26:19+00
466,,2018/11/13 01:26:19+00
467,,2018/11/13 01:26:19+00
468,,2018/11/13 01:26:19+00
469,,2018/11/13 01:26:19+00
470,,2018/11/13 01:26:19+00
471,,2018/11/13 01:26:19+00
472,,2018/11/13 01:26:19+00
473,,2018/11/13 01:26:19+00
474,,2018/11/13 01:26:19+00
475,,2018/11/13 01:26:19+00
476,,2018/11/13 01:26:19+00
477,,2018/11/13 01:26:19+00
478,,2018/11/13 01:26:19+00
479,,2018/11/13 01:26:19+00
480,,2018/11/13 01:26:19+00
481,,2018/11/13 01:26:19+00
482,,2018/11/13 01:26:19+00
483,,2018/11/13 01:26:19+00
484,,2018/11/13 01:26:19+00
485,,2018/11/13 01:26:19+00
486,,2018/11/13 01:26:19+00
487,,2019/08/01 06:49:40+00
488,,2019/08/01 06:49:40+00
489,,2019/08/01 06:49:40+00
490,,2019/08/01 06:49:40+00
491,,2019/08/01 06:49:40+00
492,,2019/08/01 06:49:40+00
493,,2019/08/01 06:49:40+00
494,,2019/08/01 06:49:40+00
495,,2019/08/01 06:49:40+00
496,,2019/08/01 06:49:40+00
497,,2019/08/01 06:49:40+00
498,,2019/08/01 06:49:40+00
499,,2019/08/01 06:49:40+00
500,,2019/08/01 06:49:40+00
501,,2019/08/01 06:49:40+00
502,,2019/08/01 06:49:40+00
503,,2019/08/01 06:49:40+00
504,,2019/08/01 06:49:40+00
505,,2019/08/01 06:49:40+00
506,,2019/08/01 06:49:40+00
507,,2019/08/01 06:49:40+00
508,,2019/08/01 06:49:40+00
509,,2019/08/01 06:49:40+00
510,,2019/08/01 06:49:40+00
511,,2019/08/01 06:49:40+00
512,,2019/08/01 06:49:40+00
513,,2019/08/01 06:49:40+00
514,,2019/08/01 06:49:40+00
515,,2019/08/01 06:49:40+00
516,,2019/08/01 06:49:40+00
517,,2019/08/01 06:49:40+00
518,,2019/08/01 06:49:40+00
519,,2019/08/01 06:49:40+00
520,,2019/08/01 06:49:40+00
521,,2019/08/01 06:49:40+00
522,,2019/08/01 06:49:40+00
523,,2020/04/06 00:35:02+00
524,,2020/04/06 00:31:55+00
525,,2020/04/06 00:32:13+00
526,,2020/04/06 00:43:35+00
527,,2020/04/06 00:35:08+00
528,,2020/04/06 00:33:08+00
529,,2020/04/06 00:34:27+00
530,,2020/04/06 00:40:10+00
531,,2020/04/06 00:33:32+00
532,,2020/04/06 00:36:17+00
533,,2020/04/06 00:43:19+00
534,,2020/04/06 00:43:03+00
535,,2020/04/06 00:33:53+00
536,,2020/04/06 00:38:07+00
537,,2020/04/06 00:38:40+00
538,,2020/04/06 00:33:19+00
539,,2020/04/06 00:31:01+00
540,,2020/04/06 00:37:25+00
541,,2021/05/05 05:32:13+00
542,,2021/05/05 05:32:13+00
543,,2021/05/05 05:32:13+00
544,,2021/05/05 05:32:13+00
545,,2021/05/05 05:32:13+00
546,,2021/05/05 05:32:13+00
547,,2021/05/05 05:32:13+00
548,,2021/05/05 05:32:13+00
549,,2021/05/05 05:32:13+00
550,,2021/05/05 05:32:13+00
551,,2021/05/05 05:32:13+00
552,,2021/05/05 05:32:13+00
553,,2021/05/05 05:32:13+00
554,,2021/05/05 05:32:13+00
555,,2021/05/05 05:32:13+00
556,,2021/05/05 05:32:13+00
557,,2021/05/28 04:52:43+00
558,,2021/05/28 04:52:43+00
559,,2021/05/28 04:52:43+00
560,,2021/05/28 04:52:43+00
561,,2021/05/28 04:52:43+00
562,,2021/05/28 04:52:43+00
563,,2021/05/28 04:52:43+00
564,,2021/05/28 04:52:43+00
565,83438,2019/09/23 01:39:27+00
566,83438,2019/09/23 01:39:14+00
567,83438,2019/09/23 01:39:10+00
568,83438,2019/09/23 01:38:49+00
569,83438,2019/09/23 01:39:19+00
570,83438,2019/09/23 01:39:07+00
571,83438,2019/09/23 01:38:54+00
572,83438,2019/09/23 01:39:17+00
573,83438,2019/09/23 01:38:45+00
574,83438,2019/09/23 01:38:52+00
575,83438,2019/09/23 01:39:21+00
576,83438,2019/09/23 01:39:25+00
577,83438,2019/09/23 01:39:29+00
578,83438,2019/09/23 01:39:01+00
579,83879,2019/11/13 05:17:33+00
580,83879,2019/11/13 05:17:33+00
581,83879,2019/11/13 05:17:33+00
582,83879,2019/11/13 05:17:33+00
583,83879,2019/11/13 05:17:33+00
584,83879,2019/11/13 05:17:33+00
585,83879,2019/11/13 05:17:33+00
586,83879,2019/11/13 05:17:33+00
587,83879,2019/11/13 05:17:33+00
588,83879,2020/06/30 07:07:14+00
589,83879,2020/06/30 07:07:14+00
590,83879,2020/06/30 07:07:14+00
591,83879,2020/06/30 07:07:14+00
592,83879,2020/06/30 07:07:14+00
593,83879,2020/06/30 07:07:14+00
594,83879,2020/06/30 07:07:14+00
595,83879,2021/05/06 06:17:51+00
596,83879,2021/05/06 06:17:51+00
597,83879,2021/05/06 06:17:51+00
598,83879,2021/05/06 06:17:51+00
599,83879,2021/05/06 06:17:51+00
600,83879,2021/05/06 06:17:51+00
601,84278,2021/05/06 06:17:51+00
602,84286,2019/09/23 01:25:12+00
603,84286,2019/09/23 01:25:06+00
604,84286,2019/09/23 01:25:03+00
605,85415,2021/05/06 06:17:51+00
606,85415,2021/05/06 06:17:51+00
607,86877,2020/07/29 08:18:17+00
608,86877,2020/07/29 08:18:17+00
609,86877,2020/07/29 08:18:17+00
610,86877,2020/07/29 08:18:17+00
611,86877,2020/07/29 08:18:17+00
612,86877,2020/07/29 08:18:17+00
613,86877,2020/07/29 08:18:17+00
614,86877,2020/07/29 08:18:17+00
615,86877,2020/07/29 08:18:17+00
616,86877,2020/07/29 08:18:17+00
617,86877,2020/07/29 08:18:17+00
618,86877,2020/07/29 08:18:17+00
619,86877,2020/07/29 08:18:17+00
620,86877,2020/07/29 08:18:17+00
621,86877,2020/07/29 08:18:17+00
622,86877,2020/07/29 08:18:17+00
623,86877,2020/07/29 08:18:17+00
